symbol,marketCap,trailingPE,trailingEps,returnOnEquity,profitMargins,dividendYield
300144.SZ,33677207552,322.0,0.04,0.011,0.17885,0.0039
600522.SS,51467284480,16.391304,0.92,0.102390006,0.07556,0.0069
601077.SS,40291926016,4.4606743,0.89,0.09441,0.48648,0.0623
601108.SS,34084978688,17.90244,0.41,0.06294,0.31824,0.027
601555.SS,35753545728,15.866667,0.45,0.05709,0.19479,0.0233
601985.SS,130013601792,14.6595745,0.47,0.11213,0.12691,0.0219
603517.SS,23968145408,82.54348,0.46,0.03769,0.04157,0.0047999998
603833.SS,60381257728,23.496313,4.07,0.16525999,0.11813,0.0177
000728.SZ,28975499264,12.072727,0.55,0.07235,0.3761,0.0225
300033.SZ,91422130176,52.65094,3.18,0.29247,0.46567002,0.015
300628.SZ,45416472576,21.54491,1.67,0.28017,0.45382,0.0364
600161.SS,45282086912,44.21311,0.61,0.12531,0.20990999,0.0039
600332.SS,51488641024,13.329317,2.49,0.12587,0.05662,0.020399999
600362.SS,54650142720,10.502763,1.81,0.07256,0.012920001,0.026400002
600383.SS,34852556800,5.938462,1.3,0.076620005,0.04947,0.081199996
600845.SS,92376449024,47.368423,0.95,0.21523,0.16925,0.0177
601607.SS,72675532800,13.540372,1.61,0.09611,0.02438,0.0185
601800.SS,140463390720,9.544642,1.12,0.06061,0.02703,0.019
688396.SS,70466404352,29.491714,1.81,0.120340005,0.24039,0.0037
000708.SZ,78179794944,12.062992,1.27,0.17282,0.06524,0.0454
002508.SZ,24761376768,15.397591,1.66,0.16288,0.15377,0.0201
002916.SZ,41009704960,26.907217,2.91,0.12517,0.11129,0.0136
600061.SS,46583500800,13.425925,0.54,0.07613,0.28851998,0.0201
600705.SS,33909850112,18.285715,0.21,0.04435,0.13352,0.0387
601618.SS,75242758144,8.458333,0.48,0.08166,0.01771,0.019299999
601878.SS,38549209088,22.088888,0.45,0.07258,0.09806,0.017
002463.SZ,42864074752,29.605263,0.76,0.16332,0.15836,0.0073
600521.SS,27029782528,21.783133,0.83,0.16227,0.14067,0.0056
601990.SS,30485762048,39.14286,0.21,0.0434,0.32654998,0.012
603939.SS,36616536064,27.044777,1.34,0.16933,0.06331,0.0116
002558.SZ,39437168640,41.851063,0.47,0.071279995,0.41974998,0.0085
600018.SS,125035610112,8.136363,0.66,0.13354999,0.49105,0.035
600118.SS,32033654784,108.36,0.25,0.04378,0.03461,0.0028
600489.SS,52981096448,23.25532,0.47,0.09333,0.039,0.020499999
600655.SS,28859484160,7.4,1.0,0.09431,0.0725,0.0479
600848.SS,31819943936,33.815792,0.38,0.054770004,0.19166,0.0228
601216.SS,34511503360,8.346939,0.49,0.16504999,0.1889,0.0438
601696.SS,29418721280,36.13793,0.29,0.05051,0.2895,0.0033000002
601995.SS,139239292928,26.924137,1.45,0.08550999,0.28545,0.0076
603392.SS,87316258816,16.91646,4.07,0.47946998,0.42657003,0.0166
002120.SZ,28790419456,19.450981,0.51,0.09017,0.03222,0.0052
002673.SZ,28650006528,35.61111,0.18,0.030439999,0.13171,0.0165
601319.SS,238779416576,11.528303,0.53,0.11517,0.039809998,0.026199998
601872.SS,49082548224,9.741936,0.62,0.15638,0.16620001,0.0191
601881.SS,87122788352,17.10606,0.66,0.08162,0.2425,0.027
601998.SS,264428257280,5.8440366,1.09,0.0952,0.44977,0.044099998
603195.SS,89528844288,28.349297,3.55,0.2742,0.229,0.0335
603338.SS,25049036800,18.1875,2.72,0.20374,0.25138,0.0072000003
688009.SS,54892433408,17.939394,0.33,0.08781999,0.089870006,0.028800001
600233.SS,51289227264,13.070175,1.14,0.15334,0.072399996,0.0166
603233.SS,31353917440,28.978949,0.95,0.17435,0.05099,0.0228
603658.SS,31090003968,26.383083,2.01,0.1511,0.26294002,0.0148
002032.SZ,37854302208,19.15102,2.45,0.25104,0.10078,0.0916
600482.SS,40339894272,133.35715,0.14,0.00787,0.0073,0.0046
601231.SS,31498031104,10.976924,1.3,0.19709,0.0429,0.0309
601236.SS,36272111616,36.61905,0.21,0.04205,0.49667,0.0064
002773.SZ,17598539776,19.9375,0.96,0.12441,0.26009,0.0077
600918.SS,47386685440,32.380955,0.21,0.0416,0.13951999,0.0091
601808.SS,54866960384,27.98,0.5,0.066939995,0.06573,0.0112
601698.SS,74771701760,73.75001,0.24,0.06238,0.34208,0.0017
002945.SZ,36260999168,95.92857,0.14,0.05865,0.29893,0.0038
600299.SS,20838363136,25.9,0.3,0.056339998,0.0577,0.0227
